time,CO2_ppm,CO2_2_ppm,O2_percent,temperature_C,OD_Trx_V,OD_Sct_V
565.0091345310211,4400.0,5910.0,20.84,36.437,3.7209285714285714,0.17176785714285714
570.0092177391052,4390.0,5890.0,20.85,36.437,3.7110178571428567,0.17085714285714285
575.0093004703522,4380.0,5880.0,20.84,36.437,3.707392857142857,0.1747857142857143
580.0093731880188,4360.0,5860.0,20.84,36.437,3.696830357142858,0.16883035714285713
585.0094614028931,4350.0,5850.0,20.85,36.437,3.699964285714285,0.16959821428571425
590.00954413414,4320.0,5840.0,20.85,36.437,3.7109464285714293,0.18038392857142857
595.0096249580383,4300.0,5840.0,20.85,36.437,3.712946428571429,0.17310714285714285
600.0096986293793,4270.0,5820.0,20.85,36.437,3.710857142857143,0.1736517857142857
605.0097894668579,4250.0,5800.0,20.87,36.437,3.7084910714285715,0.17349107142857148
610.0098602771759,4230.0,5790.0,20.87,36.5,3.6957678571428576,0.17041071428571428
615.009946346283,4230.0,5780.0,20.87,36.437,3.710508928571429,0.1800357142857143
620.0100302696228,4220.0,5760.0,20.87,36.5,3.7135714285714285,0.1743125
625.0101099014282,4210.0,5740.0,20.87,36.5,3.7158571428571427,0.17422321428571427
630.0102024078369,4200.0,5730.0,20.87,36.5,3.6946071428571434,0.17059821428571428
635.0102863311768,4190.0,5720.0,20.87,36.5,3.7169642857142855,0.17358035714285713
640.0103595256805,4160.0,5680.0,20.87,36.5,3.705723214285715,0.1749375
645.0104360580444,4150.0,5620.0,20.87,36.5,3.6944615384615385,0.1739519230769231
650.0105223655701,4120.0,5590.0,20.87,36.562,3.689160714285715,0.16995535714285717
655.0106015205383,4090.0,5560.0,20.86,36.562,3.714053571428571,0.18363392857142857
660.0106763839722,4040.0,5540.0,20.87,36.5,3.7086517857142853,0.1716964285714286
665.0107598304749,4000.0,5500.0,20.88,36.562,3.7059553571428574,0.1740982142857143
670.0108652114868,3980.0,5460.0,20.88,36.5,3.6987678571428577,0.17141071428571428
675.01096534729,3970.0,5410.0,20.87,36.5,3.6984285714285714,0.17326785714285717
680.0110442638397,3970.0,5410.0,20.88,36.5,3.7109375,0.17208035714285713
685.0111227035522,3970.0,5390.0,20.87,36.5,3.6964107142857148,0.17349107142857143
690.0112040042877,3960.0,5280.0,20.87,36.5,3.7069464285714284,0.1714285714285714
695.0113010406494,3950.0,5240.0,20.87,36.5,3.671223214285715,0.17558928571428573
700.011372089386,3930.0,5170.0,20.87,36.5,3.7012410714285724,0.16675892857142857
705.0114505290985,3910.0,5200.0,20.87,36.5,3.700285714285715,0.17770535714285712
710.0115487575531,3890.0,5190.0,20.87,36.5,3.6865192307692305,0.1745192307692308
715.0116279125214,3860.0,5190.0,20.87,36.5,3.707991071428571,0.17092857142857146
720.0117077827454,3840.0,5190.0,20.87,36.562,3.648883928571429,0.17592857142857143
725.011785030365,3800.0,5180.0,20.88,36.5,3.6758124999999997,0.17608035714285714
730.0118632316589,3790.0,5160.0,20.88,36.562,3.7038928571428573,0.18066964285714285
735.0119426250458,3790.0,5140.0,20.88,36.5,3.711607142857143,0.17651785714285714
740.0120327472687,3780.0,5090.0,20.88,36.5,3.7019196428571433,0.1771071428571429
745.012113571167,3780.0,5090.0,20.87,36.5,3.703723214285714,0.17508035714285713
750.0121963024139,3770.0,5000.0,20.87,36.5,3.6915267857142866,0.1766339285714286
755.0122692584991,3760.0,4970.0,20.87,36.562,3.6979553571428574,0.17455357142857147
760.0123445987701,3740.0,4920.0,20.87,36.5,3.696776785714286,0.17399107142857143
765.0124278068542,3710.0,4910.0,20.87,36.5,3.699821428571428,0.1770089285714286
770.0125057697296,3700.0,4890.0,20.88,36.562,3.7070803571428566,0.17250892857142858
775.0125811100006,3660.0,4860.0,20.88,36.562,3.711855769230769,0.17298076923076924
780.0126552581787,3640.0,4840.0,20.88,36.562,3.6927589285714286,0.17982142857142858
785.0127410888672,3610.0,4760.0,20.87,36.562,3.6533214285714295,0.1714375
790.0128140449524,3590.0,4780.0,20.88,36.562,3.698919642857143,0.17099107142857142
795.0129001140594,3590.0,4750.0,20.87,36.562,3.7059821428571427,0.17220535714285715
800.0129849910736,3580.0,4750.0,20.88,36.625,3.7104732142857144,0.1763125
805.013072013855,3570.0,4660.0,20.88,36.625,3.681778846153846,0.17136538461538464
810.0131540298462,3560.0,4650.0,20.88,36.625,3.706053571428572,0.17136607142857144
815.0132279396057,3540.0,4650.0,20.88,36.687,3.702321428571428,0.17466071428571434
820.0132982730865,3520.0,4630.0,20.88,36.687,3.708705357142857,0.17159821428571426
825.0134003162384,3490.0,4640.0,20.88,36.75,3.6786428571428575,0.18050000000000002
830.0134837627411,3470.0,4640.0,20.88,36.75,3.707482142857143,0.17351785714285714
835.0135645866394,3410.0,4620.0,20.88,36.687,3.6840178571428575,0.17307142857142857
840.0136365890503,3370.0,4620.0,20.88,36.687,3.707678571428572,0.17070535714285712
845.0137224197388,3330.0,4620.0,20.88,36.687,3.7139642857142854,0.1750982142857143
850.0137934684753,3320.0,4610.0,20.88,36.625,3.7052589285714284,0.1701875
855.013875246048,3320.0,4590.0,20.88,36.625,3.6932410714285715,0.17091964285714287
860.0139598846436,3320.0,4590.0,20.88,36.625,3.706285714285715,0.1696607142857143
865.0140433311462,3320.0,4560.0,20.88,36.562,3.6885982142857143,0.17251785714285714
870.0141246318817,3310.0,4570.0,20.88,36.625,3.698571428571429,0.17333035714285713
875.0142061710358,3300.0,4540.0,20.88,36.562,3.687151785714286,0.17068750000000002
880.0142824649811,3280.0,4550.0,20.88,36.625,3.7042767857142858,0.17549999999999996
885.0143775939941,3260.0,4530.0,20.88,36.562,3.7281517857142865,0.16757142857142857
890.014456987381,3240.0,4520.0,20.88,36.562,3.7034910714285716,0.17087500000000003
895.0145416259766,3220.0,4510.0,20.88,36.562,3.7030446428571424,0.1892410714285714
900.014609336853,3190.0,4500.0,20.88,36.625,3.707035714285715,0.1685625
905.0146963596344,3170.0,4480.0,20.88,36.625,3.6581964285714283,0.16945535714285714
910.0147709846497,3160.0,4450.0,20.88,36.625,3.682098214285714,0.17265178571428572
915.0148491859436,3150.0,4400.0,20.88,36.625,3.7005178571428563,0.17325000000000004
